"go_description","NES","pval","padj"
"sarcomere organization",2.67770754363895,3.65712474707841e-12,1.22414837817746e-10
"regulation of monoatomic ion transport",2.1154139349291,4.69268756071522e-12,1.54983827838555e-10
"positive regulation of mitotic cell cycle phase transition",-2.61261206590978,5.03170658642524e-12,1.63993910718096e-10
"generation of precursor metabolites and energy",2.01377793796245,6.64500009295043e-12,2.1376188610699e-10
"ribosomal small subunit biogenesis",-2.51908659699153,1.01071323285454e-11,3.20966240741116e-10
"positive regulation of chromosome organization",-2.53499035805514,1.05969425942735e-11,3.32261098810321e-10
"DNA biosynthetic process",-2.40829036425262,1.15208324072709e-11,3.56713773410126e-10
"protein localization to chromosome",-2.53040805183436,1.89938736607507e-11,5.80837346391106e-10
"kinetochore organization",-2.72700523777249,2.55434431757316e-11,7.71598887149843e-10
"DNA replication initiation",-2.75592997020761,2.98848443219915e-11,8.91864570910517e-10
"cardiac cell development",2.46325700239101,3.13807318829371e-11,9.2535801040518e-10
"regulation of muscle contraction",2.32150294171765,3.19007814684272e-11,9.29626302321109e-10
"regulation of monoatomic ion transmembrane transport",2.22341819667977,3.27813049969177e-11,9.44177819504246e-10
"DNA-templated DNA replication maintenance of fidelity",-2.62246275842449,4.01918344309709e-11,1.14431234351167e-09
"mitotic metaphase chromosome alignment",-2.58369700368592,5.02805040411661e-11,1.415281914886e-09
"regulation of striated muscle contraction",2.45096449677662,5.16171044406538e-11,1.43657941235393e-09
"cellular respiration",2.08017345776944,9.00297927449233e-11,2.47781996254639e-09
"establishment of RNA localization",-2.3381992313594,9.4341770598799e-11,2.56796226124423e-09
"spliceosomal conformational changes to generate catalytic conformation",-2.70140875095945,9.56343515479326e-11,2.57485096504597e-09
"positive regulation of chromosome separation",-2.71264401767415,9.96398683982201e-11,2.6538489679827e-09
"calcium-mediated signaling",2.23424563174105,1.09410744865023e-10,2.88308952160278e-09
"actin-mediated cell contraction",2.36243981704476,1.19019113175773e-10,3.10326677196199e-09
"regulation of DNA repair",-2.17381004785402,1.27475163027504e-10,3.28912477936591e-09
"regulation of double-strand break repair",-2.32310542822253,1.50671622054975e-10,3.84756296732138e-09
"mRNA transport",-2.34847887571559,2.00777498757757e-10,5.07475371860166e-09
"microtubule organizing center organization",-2.3079379862185,2.30196713758588e-10,5.75956828262649e-09
"positive regulation of mitotic cell cycle",-2.33921474233756,2.55218491829024e-10,6.32176204260491e-09
"regulation of cardiac muscle contraction",2.42472010084584,2.75584809788541e-10,6.75864924600214e-09
"RNA export from nucleus",-2.49971528109694,3.82702171704893e-10,9.29365960110803e-09
"DNA strand elongation",-2.60537341112686,4.49702218445824e-10,1.08146834474787e-08
"actin filament-based movement",2.28259210592772,5.67681405757762e-10,1.35206427121344e-08
"cardiocyte differentiation",2.23623357353887,5.90233675350666e-10,1.39238934651771e-08
"mismatch repair",-2.65427048136346,8.18630126914995e-10,1.91296870223438e-08
"actomyosin structure organization",2.13760112088803,1.04000962408931e-09,2.40757368118618e-08
"regulation of mRNA metabolic process",-1.98338103481657,1.25217129824594e-09,2.87187806088445e-08
"sister chromatid cohesion",-2.48303085285194,1.35407066554624e-09,3.07709453078719e-08
"positive regulation of chromosome segregation",-2.6374793505289,1.79940929704131e-09,4.05194257161029e-08
"spliceosomal tri-snRNP complex assembly",-2.61093887447641,2.58683995676504e-09,5.77261493054686e-08
"cardiac muscle tissue morphogenesis",2.38101058868804,2.69812374356969e-09,5.96718974359117e-08
"regulation of spindle checkpoint",-2.60276123896561,2.94130544037433e-09,6.39088910158527e-08
"signal transduction in response to DNA damage",-2.09484978957837,2.91841321262471e-09,6.39088910158527e-08
"cardiac muscle cell differentiation",2.24585093381716,3.1065198950821e-09,6.69117372184206e-08
"protein localization to chromosome, centromeric region",-2.63613936257558,3.75949640175434e-09,8.00012100586886e-08
"telomere maintenance via telomere lengthening",-2.45043599977615,3.7788217912259e-09,8.00012100586886e-08
"regulation of cell cycle checkpoint",-2.48050174212271,3.9073891199433e-09,8.19165252682222e-08
"maturation of SSU-rRNA",-2.46572143307162,3.93543258252662e-09,8.19165252682222e-08
"regulation of DNA-templated DNA replication",-2.54401058404801,4.16715263808915e-09,8.60169757045569e-08
"cardiac conduction",2.29494058738376,7.18933124604163e-09,1.47173334681365e-07
"regulation of telomere maintenance",-2.25702950458208,8.06232166776672e-09,1.63691563697198e-07
"RNA-templated DNA biosynthetic process",-2.39762314808952,1.02123183983472e-08,2.05657826607367e-07
"regulation of calcium ion transmembrane transport",2.2045972835259,1.20255209282177e-08,2.40219478541896e-07
"centrosome duplication",-2.34310827345984,1.64891932731364e-08,3.26749853900471e-07
"ribosomal large subunit biogenesis",-2.37252282292188,2.08848652189691e-08,4.10569929741162e-07
"female meiotic nuclear division",-2.52090073527003,2.47229325047787e-08,4.82194518223124e-07
"mitotic DNA integrity checkpoint signaling",-2.35258361409901,3.45139365053687e-08,6.67898599404674e-07
"nuclear transport",-1.86005678801777,3.63871684046804e-08,6.98690047584445e-07
"nuclear export",-2.10353038765049,3.67183485992967e-08,6.99625765234292e-07
"positive regulation of DNA repair",-2.11747895816605,3.84598686603075e-08,7.27214463141846e-07
