"go_description","NES","pval","padj"
"sensory perception of light stimulus",1.38233815404633,0.0209343973516856,0.0800223800001933
"secondary metabolic process",1.515183688061,0.0209984918697563,0.0801437047170821
"negative regulation of DNA recombination",-1.5592183545379,0.021035831432766,0.080162699167633
"microtubule nucleation",-1.4941727095273,0.0212381328097328,0.0808093010287376
"positive regulation of lipid metabolic process",1.42726609269359,0.0213219048767964,0.0810036171469705
"regulation of response to oxidative stress",1.57653045312971,0.0216708950503394,0.0822033798463871
"constitutive heterochromatin formation",-1.51304965895695,0.0218527794369318,0.0826402055958473
"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",1.39510088093403,0.0218499666196015,0.0826402055958473
"regulation of glycolytic process",1.51791976688676,0.0221200109235521,0.0835232729537172
"neurotransmitter uptake",1.48505274055919,0.0221666612415578,0.0835720241938185
"receptor recycling",1.51739137188361,0.0222182786202728,0.0836393254444008
"transcription initiation at RNA polymerase III promoter",-1.64004747600915,0.0223007531507021,0.0838224060004388
"response to nicotine",1.50674119870315,0.0227855687743492,0.0855149300819136
"cellular response to starvation",1.34914342149401,0.0228750335240755,0.0857208139775115
"negative regulation of syncytium formation by plasma membrane fusion",-1.49698710878289,0.0229113043266623,0.0857270405092787
"regulation of myeloid leukocyte differentiation",1.39203295234684,0.023066717283675,0.0861783690975308
"regulation of fatty acid metabolic process",1.46238636697347,0.0232672974339678,0.086796830939666
"regulation of endothelial cell migration",1.38043382100188,0.0234030217263627,0.0871718568664668
"positive regulation of nucleocytoplasmic transport",-1.45206732113455,0.0234958372402772,0.0873861694356855
"regulation of phagocytosis",1.4225082660695,0.0235713853023222,0.0875357142336612
"protein quality control for misfolded or incompletely synthesized proteins",1.53841172855537,0.0243249018627845,0.0900236087972353
"glycerolipid metabolic process",1.28654544450909,0.0243194189670015,0.0900236087972353
"ossification",1.26672274299836,0.0243503503811658,0.0900236087972353
"semi-lunar valve development",1.47592366736308,0.0243871120112602,0.0900251511950693
"import across plasma membrane",1.36995725144457,0.0245583683578635,0.0905224381286131
"regulation of protein-containing complex disassembly",1.3713509358718,0.02461693625186,0.0906034934559542
"regulation of transferase activity",-1.30680277844797,0.0246916850900229,0.0907437744332147
"cellular response to oxygen levels",1.36920944017025,0.025107065334122,0.0921336308631411
"negative regulation of mRNA catabolic process",-1.51130055271832,0.0252032269880617,0.0923496941559599
"neural tube patterning",-1.5566433156832,0.0258758074383924,0.0946741137738522
"positive regulation of RNA splicing",-1.55267843557945,0.025965235237965,0.0948611912749843
"multivesicular body sorting pathway",1.45830418838651,0.0260984694243736,0.0952075239531274
"response to fatty acid",1.48226788675062,0.0264284898253916,0.0961597319433794
"phagocytosis",1.35316534672421,0.0264371326013086,0.0961597319433794
"membrane fusion",1.33580723910571,0.0273294930602386,0.0992597570530955
"organelle membrane fusion",1.34853294872681,0.0273984828777198,0.0993646297044099
"ribose phosphate biosynthetic process",1.36628478980022,0.0274613073354488,0.099446868815653
"oogenesis",-1.47454861583304,0.02758458717489,0.0997474780032154
"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",-1.50415145393212,0.0278472975289366,0.100404302735336
"adenylate cyclase-activating G protein-coupled receptor signaling pathway",1.40572754847522,0.027816857688844,0.100404302735336
"biomineral tissue development",1.34900545821253,0.027949584987726,0.100626630835171
"positive regulation of endocytosis",1.4047854557777,0.0280936400701466,0.100998470905302
"regulation of inflammatory response",1.30257831078679,0.0284067398244134,0.101976079050829
"regulation of protein localization to cell periphery",1.36934480076615,0.0286197579404272,0.102592099013659
"regulation of small GTPase mediated signal transduction",1.28952152553792,0.029475866362771,0.105508267312982
"myotube cell development",1.51561070150377,0.0297577232798766,0.106210202542153
"regulation of glucose metabolic process",1.3972304695001,0.0297577232798766,0.106210202542153
"CD8-positive, alpha-beta T cell activation",-1.60040769233824,0.0301714461116992,0.107531902185149
"development of primary sexual characteristics",-1.32508613387289,0.0302561208915204,0.107678752080885
"regulation of generation of precursor metabolites and energy",1.36552292405327,0.0303755237726401,0.107948597395738
"positive regulation of axon extension",1.52108114266624,0.0304949062125277,0.108062779239529
"positive regulation of striated muscle cell differentiation",1.51927822861873,0.0304949062125277,0.108062779239529
"cellular response to interleukin-1",1.41798702889315,0.0307413411212107,0.108780431367484
"regulation of striated muscle cell differentiation",1.40176929415948,0.0312522366828861,0.110273205503574
"long-chain fatty acid metabolic process",1.40100126249966,0.0312522366828861,0.110273205503574
"negative regulation of cold-induced thermogenesis",1.49088121183129,0.0314363627465598,0.110765107429913
"antigen processing and presentation of exogenous peptide antigen",-1.53987233073724,0.0317413229507291,0.111680762711585
"RNA decapping",-1.59248236153014,0.0324202216342931,0.113907643954814
"sulfur compound metabolic process",1.3292534050592,0.0325930554831701,0.114352688996901
"positive regulation of ossification",1.43025556668274,0.0327116389995075,0.114606407074653
"insulin-like growth factor receptor signaling pathway",1.47135049867689,0.0333377058831047,0.116634883435664
"exit from mitosis",-1.52477273198995,0.0336942775042293,0.117716114778527
"mitochondrial membrane organization",1.36519708085171,0.0338829293806268,0.118069887339217
"cellular process involved in reproduction in multicellular organism",-1.2487527460934,0.0338908719815031,0.118069887339217
"vacuole organization",1.31111148147636,0.0342828577275304,0.119267750830186
"response to laminar fluid shear stress",1.49223005595799,0.0343801467757455,0.119271181461515
"dephosphorylation",1.33537809423086,0.0343378863916195,0.119271181461515
"regulation of JNK cascade",1.33372385881499,0.0348702461417251,0.120802237332941
"defense response to bacterium",1.33976785210945,0.0354390919189147,0.122601439501609
"negative regulation of response to biotic stimulus",-1.35735399223265,0.0358873408009043,0.123979000228508
"synaptic vesicle exocytosis",1.40985816292111,0.0360630876723716,0.124311815740994
"canonical Wnt signaling pathway",1.28382384516371,0.0360840514807325,0.124311815740994
"response to acid chemical",1.36362681509025,0.0366375806793461,0.126043454642695
"plasma membrane organization",1.33433867657991,0.0376032704480683,0.129186270318814
"regulation of canonical Wnt signaling pathway",1.31535241845173,0.0380897617882064,0.130676371121035
"regulation of translation",-1.23800654128008,0.0381803837364753,0.130806100297717
"smooth muscle contraction",1.41610951009638,0.0386266612416223,0.132152265049031
"negative regulation of canonical Wnt signaling pathway",1.35885831618248,0.0390664223468783,0.133472452625128
"membrane docking",1.38032747168048,0.0392385911781504,0.133876019763469
"organelle fusion",1.30561158645724,0.0397456279809221,0.135419422983142
"regulation of epithelial cell proliferation",1.28113516589688,0.0398773006134969,0.135681419807187
"negative regulation of Wnt signaling pathway",1.3115588274804,0.0399823760775564,0.135852325849256
"pyrimidine nucleotide metabolic process",-1.4594614687786,0.0401357921090084,0.136186790484951
"cellular response to fluid shear stress",1.45846822279737,0.0403988518113141,0.136804125202124
"glycerophospholipid metabolic process",1.26550492339824,0.0404281871812495,0.136804125202124
"negative regulation of macroautophagy",1.48586862718972,0.0410939637249818,0.138867323529031
"response to reactive oxygen species",1.33486767947074,0.0412585737095828,0.139131248829807
"protein targeting",1.27030381837643,0.0412844036697248,0.139131248829807
"regulation of alternative mRNA splicing, via spliceosome",-1.38412265635288,0.0414585510651269,0.13952830297326
"carbohydrate biosynthetic process",1.30046599741479,0.0418679549114332,0.140714958365834
"protein targeting to vacuole",1.44953418397269,0.0420938814581429,0.14128258044962
"regulation of lymphocyte differentiation",-1.26765157044902,0.0421840859829757,0.141393749634413
"negative regulation of cytokine production",1.28371662863663,0.0422535211267606,0.1414350970689
"monosaccharide metabolic process",1.28424999436835,0.0423197492163009,0.1414656124275
"nephron development",1.29850075507098,0.0424143556280587,0.141590780176148
"appendage development",1.32867230156492,0.0426117062925118,0.14205813793614
"negative regulation of myeloid cell differentiation",1.37109439168168,0.0428082191780822,0.142521450139932
"response to BMP",1.30908478608819,0.0429436705627291,0.142780499307222
"antigen processing and presentation of exogenous antigen",-1.48762462561632,0.0430083350612614,0.142803814942017
"phosphatidylinositol 3-kinase/protein kinase B signal transduction",1.26953719679884,0.043343653250774,0.143724536950692
"negative regulation of myeloid leukocyte differentiation",1.45116927301531,0.0434782608695652,0.143785917455158
"actin filament bundle organization",1.28675784078499,0.0434782608695652,0.143785917455158
"ketone biosynthetic process",1.4209618517248,0.0442930153321976,0.146090278266116
"GO:0009064",-1.39200855733531,0.0442489601111055,0.146090278266116
"cardiac septum morphogenesis",1.35345499428132,0.0444444444444444,0.146394799054374
"positive regulation of protein localization to plasma membrane",1.41879457078139,0.044750430292599,0.147020417853751
"response to steroid hormone",1.26260912199223,0.0447530864197531,0.147020417853751
"gland morphogenesis",1.33501709929737,0.045531197301855,0.149375701698348
"pyridine-containing compound metabolic process",1.32698015897662,0.0455906461380506,0.149375701698348
"endoplasmic reticulum to cytosol transport",-1.47589334784612,0.0458610249718943,0.149657626208378
"negative regulation of protein polymerization",1.37846038047674,0.0458404074702886,0.149657626208378
"tissue migration",1.35789949877968,0.0459183673469388,0.149657626208378
"positive regulation of cell projection organization",1.26083234747977,0.0458715596330275,0.149657626208378
"endocardial cushion morphogenesis",1.41745093293548,0.0459965928449744,0.149715585383708
"positive regulation of protein localization to membrane",1.36074962531219,0.0462328767123288,0.150287185848344
"regulation of G protein-coupled receptor signaling pathway",1.31272672728329,0.0467741935483871,0.151847545765865
"regulation of calcium ion import",1.47597707961953,0.0469314079422383,0.15208358090711
"regulation of protein-containing complex assembly",1.23764778595085,0.046969696969697,0.15208358090711
"regulation of mitochondrial fission",1.47273468802588,0.0472727272727273,0.152864941846665
"cellular response to cAMP",1.39539599070332,0.0475382003395586,0.153522975542486
"cellular response to insulin stimulus",1.28472634631296,0.0476947535771065,0.153828000794913
"regulation of actin filament polymerization",1.32274981097502,0.0478547854785479,0.154143437750797
"response to nutrient",1.33179960074407,0.0481976463123519,0.155046194695709
"stem cell proliferation",-1.38851514145413,0.0484682700623219,0.155714533001779
"regulation of Wnt signaling pathway",1.24729238834405,0.0489296636085627,0.156993234143018
"negative regulation of immune effector process",1.3901261845412,0.0490612143561721,0.157008563256122
"cellular component maintenance",1.36087751734926,0.0490410998708214,0.157008563256122
"negative regulation of locomotion",1.25570522424534,0.0493827160493827,0.157833532457188
"positive regulation of bone mineralization",1.46603138998048,0.0495575221238938,0.158188121521759
"positive regulation of gene expression, epigenetic",-1.40143884531495,0.0500556759131215,0.159572598760363
"amine metabolic process",1.38183930974472,0.0502088321690277,0.159855112188537
"positive regulation of nucleotide metabolic process",1.47120832940433,0.0505415162454874,0.16070774806171
"cellular response to alkaloid",1.47878068668065,0.0509666080843585,0.161851651570456
"negative regulation of ERBB signaling pathway",1.45186291452326,0.0511463844797178,0.162159685064113
"negative regulation of hormone secretion",1.41316270484576,0.0511945392491468,0.162159685064113
"regulation of natural killer cell mediated immunity",-1.45030127515659,0.0517311180520236,0.163650037566874
"phenol-containing compound metabolic process",1.36872615299572,0.0519860389748174,0.164246707322223
"inositol phosphate metabolic process",1.47357567484214,0.0527240773286467,0.16573291820185
"regulation of cell migration involved in sprouting angiogenesis",1.45591884729411,0.0527240773286467,0.16573291820185
"establishment of protein localization to vacuole",1.40099301648481,0.0526315789473684,0.16573291820185
"myeloid cell differentiation",1.23604085689071,0.0526315789473684,0.16573291820185
"tRNA wobble base modification",-1.50981302326967,0.0529944511835915,0.166371680078271
"regulation of vasculature development",1.24750401445754,0.053125,0.166570411392405
"adaptive thermogenesis",1.28633517737252,0.0533117932148627,0.166944768385859
"fertilization",-1.3083119169536,0.0534257301218974,0.166953604634144
"response to temperature stimulus",1.26827165564352,0.053484602917342,0.166953604634144
"regulation of cellular component size",1.24265033770436,0.0535168195718654,0.166953604634144
"B cell mediated immunity",-1.36284391347805,0.0537095609743477,0.167344128972905
"regulation of vacuole organization",1.42315578234257,0.0539629005059022,0.16771154900015
"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",1.3402385611667,0.0539130434782609,0.16771154900015
"apoptotic mitochondrial changes",1.34741248937692,0.0540511927034588,0.16777544401813
"canonical NF-kappaB signal transduction",1.24825319063357,0.054858934169279,0.170069561873973
"glial cell migration",1.41032047814469,0.0549828178694158,0.170240549828179
"very long-chain fatty acid metabolic process",1.46222855897719,0.0550621669626998,0.170273392717363
"protein homooligomerization",1.26270640001239,0.0556464811783961,0.171865752966193
"carbohydrate transport",1.30955801160819,0.0565068493150685,0.174088887753016
"negative regulation of phosphorus metabolic process",1.25839638979263,0.0564516129032258,0.174088887753016
"platelet-derived growth factor receptor signaling pathway",1.39748242856349,0.0567986230636833,0.174337285413561
"vesicle targeting",1.37926375897166,0.0567986230636833,0.174337285413561
"positive regulation of peptide secretion",1.33413374208237,0.0567010309278351,0.174337285413561
"negative regulation of vasculature development",1.3302998715001,0.0569948186528497,0.174722977479095
"limbic system development",-1.3049830892367,0.0571424723210635,0.174959090159795
"regulation of signal transduction by p53 class mediator",-1.30177443396629,0.057227063708184,0.175001773833545
"positive regulation of organelle assembly",-1.30396168241447,0.0580046403712297,0.177160905301524
"cardiac conduction system development",1.43613644652278,0.0582010582010582,0.177378725842053
"presynaptic endocytosis",1.33870044816692,0.0582191780821918,0.177378725842053
"platelet activation",1.28871010613684,0.0587275693311582,0.178707849180932
"B cell receptor signaling pathway",1.41849782817587,0.0590277777777778,0.179181134259259
"negative regulation of actin filament polymerization",1.41047755741945,0.0590219224283305,0.179181134259259
"monosaccharide transmembrane transport",1.33212534312919,0.0593368237347295,0.17987496056247
"regulation of protein localization to nucleus",-1.29217973639726,0.0594741997176677,0.17987496056247
"reproductive system development",-1.23094431524165,0.0594496592155427,0.17987496056247
"vascular associated smooth muscle cell differentiation",1.45349660795884,0.0595667870036101,0.179935282204808
"regulation of myoblast differentiation",1.36584258302873,0.0598290598290598,0.180507407060391
"positive regulation of viral process",-1.35754306237676,0.0600961538461538,0.181092667976792
"head morphogenesis",1.43659744407398,0.0601769911504425,0.181115925977699
"cellular response to UV",-1.34343071014224,0.0604077785260434,0.181589887632293
"negative regulation of lipid metabolic process",1.33296701586364,0.0605536332179931,0.181807696340568
"vascular endothelial cell response to fluid shear stress",1.4398428558223,0.0608856088560886,0.181922380140569
"antigen processing and presentation of peptide antigen",-1.40732833480496,0.0606796116504854,0.181922380140569
"embryonic heart tube development",1.32778954914652,0.0608695652173913,0.181922380140569
"regulation of actin filament bundle assembly",1.31559962450252,0.0607638888888889,0.181922380140569
"p38MAPK cascade",1.40326551408647,0.0610169491525424,0.182095160302226
"regulation of polysaccharide biosynthetic process",1.44449132741501,0.0612959719789842,0.182707728750835
"steroid metabolic process",1.23702113330606,0.0614173228346457,0.182849409448819
"nutrient storage",1.31436948028468,0.0615384615384615,0.182990119124573
"RNA polymerase II preinitiation complex assembly",-1.37629908911315,0.0620525059665871,0.183856527845976
"export across plasma membrane",1.36954183401467,0.0619621342512909,0.183856527845976
"regulation of synaptic plasticity",1.26223354445803,0.0620031796502385,0.183856527845976
"positive regulation of steroid metabolic process",1.42955715383451,0.0621669626998224,0.183975587344636
"regulation of cholesterol metabolic process",1.41041759611849,0.0625,0.184740453460621
"positive regulation of phagocytosis",1.39673665487039,0.0627118644067797,0.18514575463122
"nucleoside monophosphate metabolic process",-1.36233049184276,0.0630405630622874,0.185894612744388
"regulation of collagen metabolic process",1.446769312578,0.0632688927943761,0.186346073069762
"establishment of mitochondrion localization",1.43787947070411,0.0636363636363636,0.186762171477811
"catechol-containing compound metabolic process",1.38549684313543,0.063573883161512,0.186762171477811
"hormone-mediated signaling pathway",1.26721020250562,0.0635930047694754,0.186762171477811
"developmental cell growth",1.25397843734405,0.0638977635782748,0.187086005181308
"sensory system development",1.21048932210357,0.0638297872340425,0.187086005181308
"positive regulation of epithelial cell migration",1.40184691497253,0.0643478260869565,0.188181304861147
"response to tumor necrosis factor",1.24926638663865,0.0646203554119548,0.188755448532325
"calcium-dependent cell-cell adhesion",1.42639789770869,0.0648648648648649,0.189246490306561
"telomere maintenance in response to DNA damage",-1.44942825989867,0.0654205607476635,0.190419187981155
"positive regulation of cell killing",-1.44880374143705,0.0654205607476635,0.190419187981155
"regulation of hormone secretion",1.25816492349081,0.0658105939004815,0.19132962569424
"inner mitochondrial membrane organization",1.40793286764973,0.0659722222222222,0.19157467109548
"DNA damage response, signal transduction by p53 class mediator",-1.36161628560263,0.0660983972064263,0.191716311335267
"regulation of receptor-mediated endocytosis",1.2863127525474,0.0663265306122449,0.192153001551498
"alcohol metabolic process",1.22298118817315,0.0665634674922601,0.19261414600272
"forebrain cell migration",1.38636234216791,0.0667808219178082,0.193017614807947
"negative regulation of protein ubiquitination",-1.35492399627034,0.0671462829736211,0.193847719027575
"cellular response to oxidative stress",1.25170094510943,0.0673981191222571,0.194348243382806
"negative regulation of muscle cell apoptotic process",1.40115652046573,0.0677083333333333,0.195015746124031
"ERK1 and ERK2 cascade",1.22254331477405,0.0678233438485804,0.195120119294929
"regulation of lipid storage",1.42517712133178,0.0683012259194396,0.19626697981723
"endothelial cell proliferation",1.27788545098105,0.0684039087947883,0.196334278197787
"neuron projection regeneration",1.37544220859784,0.0684931506849315,0.196362886859462
"bile acid biosynthetic process",1.40892574017059,0.0685920577617329,0.196419106446026
"long-term synaptic depression",1.4268093670981,0.0690909090909091,0.19739121316976
"mitochondrial RNA processing",-1.42459003348839,0.0690423162583519,0.19739121316976
"intracellular lipid transport",1.38111098877211,0.0695652173913043,0.197959529764005
"regulation of nucleotide metabolic process",1.34994041669208,0.0696095076400679,0.197959529764005
"translational initiation",-1.30821059380497,0.0694477096191166,0.197959529764005
"negative regulation of secretion",1.27374256103958,0.0695364238410596,0.197959529764005
"regulation of gluconeogenesis",1.37688363031168,0.0698466780238501,0.198178947840867
"postsynaptic density organization",1.37544291937974,0.0698466780238501,0.198178947840867
"positive regulation of cytosolic calcium ion concentration",1.31462243485906,0.0702054794520548,0.198969076204508
"GO:0046323",1.34895975660426,0.070446735395189,0.199424644084438
"renal absorption",1.42483458945146,0.0709090909090909,0.200504358655044
"regulation of reactive oxygen species metabolic process",1.27393091769328,0.0710743801652893,0.200513940397974
"Wnt signaling pathway",1.18901120159511,0.0710144927536232,0.200513940397974
"cartilage development",1.25114941836519,0.0713153724247227,0.200964934580248
"protein homotetramerization",1.35639476573497,0.0716723549488055,0.201424327410984
"regulation of embryonic development",-1.31794924746306,0.0718078706784008,0.201424327410984
"focal adhesion assembly",1.31207374646781,0.0718038528896672,0.201424327410984
"regulation of viral process",-1.25376198740633,0.0716112531969309,0.201424327410984
"monocarboxylic acid biosynthetic process",1.24710316765457,0.0718849840255591,0.201424327410984
"potassium ion homeostasis",1.41946540375049,0.0720562390158172,0.201676049765174
"sterol metabolic process",1.26387623217453,0.07223113964687,0.20193739605564
"immunoglobulin production",-1.38224699717277,0.0726245321530899,0.202620901773444
"response to leukemia inhibitory factor",-1.27757686199605,0.0726392251815981,0.202620901773444
"regulation of autophagosome assembly",1.38942905076696,0.0729166666666667,0.202709970071081
"positive regulation of biomineral tissue development",1.38562445664056,0.0729166666666667,0.202709970071081
"diencephalon development",-1.32508047444764,0.0727699530516432,0.202709970071081
"sprouting angiogenesis",1.2672189195801,0.0732899022801303,0.203519156892245
"positive regulation of phosphorus metabolic process",1.21946696061211,0.0734375,0.203700657894737
"extrinsic apoptotic signaling pathway",1.2418335829679,0.0736,0.203923042505593
"positive regulation of glucose metabolic process",1.41047890066656,0.0738738738738739,0.203950392569469
"neurotransmitter reuptake",1.40906550719477,0.0738007380073801,0.203950392569469
"regulation of membrane permeability",1.34220826361702,0.0740103270223752,0.203950392569469
"negative regulation of developmental growth",1.30709336675294,0.0740103270223752,0.203950392569469
"intrinsic apoptotic signaling pathway in response to DNA damage",-1.2989174859495,0.0741038971790562,0.203950392569469
"reactive oxygen species metabolic process",1.25480626164546,0.0740740740740741,0.203950392569469
"cell maturation",-1.2644314471601,0.0747110505844545,0.20539319899855
"pituitary gland development",-1.39922136994734,0.0751708428246014,0.206199532310673
"response to interleukin-4",-1.39403612268976,0.0751708428246014,0.206199532310673
"regulation of smooth muscle cell differentiation",1.41265289775981,0.0755711775043937,0.206839565390479
"male sex differentiation",-1.23754931506391,0.0755667506297229,0.206839565390479
"regulation of DNA binding",-1.39683899344061,0.0760626398210291,0.20772564370087
"protein localization to cytoskeleton",-1.31407542452105,0.076036866359447,0.20772564370087
"regulation of T-helper cell differentiation",1.40214288783813,0.0763765541740675,0.20835322102331
"dendrite morphogenesis",1.26038267552971,0.0765472312703583,0.208589099952341
"Schwann cell differentiation",1.35563533497328,0.0766609880749574,0.208669524683153
"protein dephosphorylation",1.30360224091045,0.0774526678141136,0.21059303861203
"positive regulation of production of molecular mediator of immune response",-1.27997118710536,0.0780141843971631,0.211887209157646
"regulation of isotype switching",-1.41145243259026,0.0785219399538106,0.212799611887953
"acyl-CoA biosynthetic process",1.35910263133862,0.0784982935153584,0.212799611887953
"cellular response to reactive oxygen species",1.27041331460286,0.0786885245901639,0.213018005912389
"presynapse organization",1.35820599169224,0.0789022298456261,0.213252597141709
"axon extension",1.29468866608235,0.0789473684210526,0.213252597141709
"body morphogenesis",1.34334110429978,0.0790378006872852,0.213264305340311
"B cell differentiation",1.25750536959886,0.0793388429752066,0.213843649673109
"regulation of intrinsic apoptotic signaling pathway",-1.28366649240163,0.0796172147044338,0.214360696546611
"glycerophospholipid biosynthetic process",1.2242244898629,0.0803149606299213,0.216004514093719
"fatty-acyl-CoA metabolic process",-1.38557577118374,0.0805369127516778,0.216132104968479
"vascular associated smooth muscle cell proliferation",1.33908460304919,0.0804794520547945,0.216132104968479
"positive regulation of MAPK cascade",1.18341780405979,0.0809160305343511,0.216914510425961
"mononuclear cell migration",1.23373732983621,0.0810372771474878,0.217004687020894
"immunoglobulin production involved in immunoglobulin-mediated immune response",-1.35138100707286,0.081145584725537,0.217060057629757
"regulation of post-translational protein modification",-1.19512085830059,0.0815217391304348,0.217831011678627
"cell fate specification",-1.26794007119832,0.0817757009345794,0.218274150016113
"negative regulation of epithelial cell proliferation",1.28601009471706,0.0818815331010453,0.218321375125177
"endocrine process",1.31065871897214,0.0821917808219178,0.218912947414936
"negative regulation of ERK1 and ERK2 cascade",1.33106394452014,0.0827464788732394,0.220153628538146
"regulation of epithelial cell migration",1.33072249957502,0.0830449826989619,0.220627638032014
"response to cAMP",1.328048081049,0.0831918505942275,0.220627638032014
"positive regulation of protein localization to cell periphery",1.32615841550896,0.0831918505942275,0.220627638032014
"cell junction maintenance",1.35021836229181,0.083617747440273,0.221519957657279
"mesenchyme morphogenesis",1.33384535073975,0.084192439862543,0.222804138396922
"sensory perception of mechanical stimulus",1.2342831937182,0.0848287112561175,0.224248364761369
"lipid localization",1.18126279626205,0.0853658536585366,0.22542773935202
"response to cocaine",1.33484174558366,0.0859106529209622,0.22662480009076
"secretion by tissue",1.40013555596435,0.086115992970123,0.226683649933044
"positive regulation of smooth muscle cell migration",1.39981895504822,0.086115992970123,0.226683649933044
"negative regulation of small molecule metabolic process",1.29523385080697,0.0868824531516184,0.22845842511312
"cytoplasmic translational initiation",-1.34463654627906,0.0871670702179177,0.228963767687998
"regulation of pattern recognition receptor signaling pathway",-1.20084544945033,0.0874035989717224,0.229341858742538
"regulation of cell-matrix adhesion",1.2704067024743,0.0876897133220911,0.229849121586052
"positive regulation of fat cell differentiation",1.32621918916958,0.0882352941176471,0.230914215881528
"response to alcohol",1.22392698741919,0.0882825040128411,0.230914215881528
"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage",-1.36880149734214,0.0884955752212389,0.231227362682499
"thymic T cell selection",-1.37247022935484,0.0891304347826087,0.232640766023732
"negative regulation of lipid biosynthetic process",1.32596979871862,0.0895008605851979,0.233361717546879
"protein localization to vacuole",1.29612582691697,0.0901360544217687,0.234770774766268
"regulation of lipid localization",1.24612846163245,0.0903010033444816,0.23495334588685
"actin filament polymerization",1.23010971815362,0.0910569105691057,0.236671529359575
"cardiac septum development",1.25472263523714,0.0913621262458472,0.237215918984238
"regulation of organ growth",1.28543286180473,0.0918367346938776,0.238198525483492
"response to interleukin-6",1.36858501624386,0.092057761732852,0.238263019515914
"adherens junction organization",1.3196157234123,0.0921501706484642,0.238263019515914
"associative learning",1.28205443480789,0.0919931856899489,0.238263019515914
"regulation of intracellular estrogen receptor signaling pathway",-1.36128726639064,0.092378752886836,0.238604974870378
"protein localization to cell surface",1.30874076012879,0.0929432013769363,0.239812822719449
"regulation of neuron projection development",1.17214685129302,0.0930930930930931,0.239949627046401
"immune system development",-1.19532244265983,0.0933333333333333,0.24031878031878
"stress fiber assembly",1.25352382609261,0.0936967632027257,0.24100403162321
"membrane fission",1.32540995848807,0.0943396226415094,0.242405856102717
"activin receptor signaling pathway",1.33192865772782,0.0949152542372881,0.243632212171775
"regulation of myeloid cell differentiation",1.21742315161669,0.0951612903225806,0.244010886261938
"glial cell proliferation",1.35753743245044,0.0955752212389381,0.244057156396548
"acetyl-CoA metabolic process",1.35411791669025,0.0955752212389381,0.244057156396548
"negative regulation of adaptive immune response",1.35380886816598,0.0954861111111111,0.244057156396548
"extracellular matrix assembly",1.34876250791216,0.0954861111111111,0.244057156396548
"embryonic digestive tract development",-1.32871592128506,0.0956719817767654,0.244057156396548
"negative regulation of endothelial cell proliferation",1.37450239884966,0.0959147424511545,0.24442470890073
"negative regulation of supramolecular fiber organization",1.22216906541601,0.0962479608482871,0.244770224867769
"hormone transport",1.19046763940701,0.0962145110410095,0.244770224867769
"neural tube formation",-1.22766194031973,0.0966183574879227,0.245460175894958
"antigen receptor-mediated signaling pathway",1.22160771354166,0.09688013136289,0.245873038305203
"steroid hormone receptor signaling pathway",1.24122890447151,0.096989966555184,0.245899843559049
"protein-containing complex localization",-1.32612606736919,0.0972079147818434,0.246200414023135
"mesenchyme development",1.19204369095533,0.0973724884080371,0.246365325624829
"positive regulation of smoothened signaling pathway",-1.35002010220683,0.0981308411214953,0.248030707610147
"mitochondrial fission",1.35189445721106,0.0989583333333333,0.249612822471147
"regulation of cell-substrate adhesion",1.20776592665289,0.0988835725677831,0.249612822471147
"appendage morphogenesis",1.24317065773245,0.0995184590690209,0.250770318528957
"multicellular organismal-level chemical homeostasis",1.31990082055425,0.10051993067591,0.25280262133054
"anatomical structure maturation",-1.18710264888377,0.100529100529101,0.25280262133054
"acidic amino acid transport",1.31113226433106,0.100854700854701,0.253364192715106
"positive regulation of adaptive immune response",-1.24123483990947,0.101204819277108,0.25398615739554
"negative regulation of lipid localization",1.37565229931877,0.101576182136602,0.254660124648142
"maintenance of synapse structure",1.37674450318072,0.101933216168717,0.255296841708708
"regulation of leukocyte mediated immunity",-1.1905930887122,0.102362204724409,0.2561123041438
"tube closure",-1.24259986591741,0.102564102564103,0.256358508628942
"response to growth hormone",1.35465638420265,0.102787456445993,0.256657791952344
"cell migration involved in sprouting angiogenesis",1.30975272015296,0.102915951972556,0.256719852000021
"regulation of neuron projection regeneration",1.35876191800655,0.103074141048825,0.256855782070361
"negative regulation of leukocyte migration",1.36469522542101,0.103327495621716,0.257228348396976
"response to fluid shear stress",1.2931487131376,0.103565365025467,0.257561655791246
"regulation of lipid biosynthetic process",1.21051248597571,0.104,0.258383149448345
"nucleoside phosphate biosynthetic process",1.18481590175775,0.104361370716511,0.259021157579957
"regulation of viral genome replication",-1.25543003935418,0.104513064133017,0.259137997855338
"positive regulation of intrinsic apoptotic signaling pathway",-1.2827818546529,0.105011933174224,0.260114558472554
"regulation of osteoblast differentiation",1.2323226043446,0.105960264900662,0.262201374784156
"regulation of antigen receptor-mediated signaling pathway",1.31132647669849,0.106239460370995,0.262629883571811
"regulation of biological process involved in symbiotic interaction",-1.34534331141555,0.106521739130435,0.26306515236898
"respiratory system development",1.20574349316895,0.107371794871795,0.264900334559199
"B cell activation involved in immune response",-1.2568396448542,0.107913669064748,0.265972296789434
"metencephalon development",-1.23185371255877,0.108235294117647,0.26649982458192
