"go_description","NES","pval","padj"
"ribosome biogenesis",-3.04099878988161,1.62958403481335e-38,4.03647965423267e-35
"rRNA metabolic process",-2.98175505780993,1.89214150432927e-32,2.3434172531118e-29
"rRNA processing",-2.97842036071046,9.47040949251758e-29,7.81940143765534e-26
"mitochondrial gene expression",-2.93025323353155,3.804831948563e-24,2.35614218414764e-21
"tRNA metabolic process",-2.83526746380953,7.88008542308135e-24,3.9037943185945e-21
"mitochondrial translation",-2.9871851630931,1.25351375472398e-23,5.17492261741883e-21
"oxidative phosphorylation",-2.92819855766323,1.15697518744132e-19,4.09403934184593e-17
"heart morphogenesis",2.49036388831969,1.15102250489675e-18,3.16786971625473e-16
"pattern specification process",2.3495997179178,1.05712133279305e-18,3.16786971625473e-16
"sensory system development",2.35850110793928,2.38848833228336e-18,5.91628559906588e-16
"maturation of SSU-rRNA",-2.8979511619944,2.58020630748242e-17,5.81015547603087e-15
"mitochondrion organization",-2.2951416163682,2.93749972827439e-17,6.06348902244639e-15
"DNA replication",-2.3748311117575,3.78122874221253e-17,7.20469507266188e-15
"renal system development",2.3807364415132,6.69702972450841e-17,1.18489590197195e-14
"ATP synthesis coupled electron transport",-2.90488829946321,1.0430639059408e-16,1.72244619667691e-14
"ribosomal small subunit biogenesis",-2.78658509205995,2.11155084235259e-16,3.2689446478171e-14
"protein-RNA complex organization",-2.45146367466788,6.48561609124357e-16,9.44992415177078e-14
"external encapsulating structure organization",2.36211852046209,7.49136882160032e-16,1.03089558728355e-13
"mesenchyme development",2.27794497673409,8.80588417521688e-15,1.14800921589538e-12
"embryonic organ development",2.15928444944703,9.54003801367432e-15,1.18153370799356e-12
"regulation of translation",-2.2335596965076,1.23027739374623e-14,1.45114147824258e-12
"electron transport chain",-2.68358640980078,2.02992997326322e-14,2.23928820997877e-12
"embryonic organ morphogenesis",2.31877774507759,2.07927447838158e-14,2.23928820997877e-12
"RNA modification",-2.498293914384,2.28354120646069e-14,2.35680482016798e-12
"cellular respiration",-2.27572091472232,4.10486437905956e-14,4.06709962677221e-12
"tRNA processing",-2.5648543659345,8.8434020775308e-14,8.42504113309377e-12
"nucleotide biosynthetic process",-2.40522687338943,9.2183990732341e-14,8.45702759422255e-12
"mesenchymal cell differentiation",2.27621235944437,1.4787067506834e-13,1.30812736480099e-11
"nucleoside phosphate biosynthetic process",-2.24891534987128,1.53217666915862e-13,1.30869021017444e-11
"cardiac chamber development",2.42611034130371,1.90912546903627e-13,1.57630126226762e-11
"spliceosomal snRNP assembly",-2.69214244246794,2.58683388503604e-13,2.06696372039815e-11
"mitochondrial respiratory chain complex assembly",-2.65416902255158,2.93695561327652e-13,2.27338720440186e-11
"macromolecule methylation",-2.50652316993403,3.27669755639586e-13,2.45950904460381e-11
"DNA-templated DNA replication",-2.42640253937691,4.62948312606844e-13,3.29453713831882e-11
"protein folding",-2.38634091124988,4.65517964639317e-13,3.29453713831882e-11
"cell surface receptor protein serine/threonine kinase signaling pathway",2.1161893435047,1.04768749648346e-12,7.20867202441533e-11
"proton motive force-driven ATP synthesis",-2.66981250280798,1.79849866325273e-12,1.20402194293973e-10
"gastrulation",2.35957760288803,2.25587344559502e-12,1.47047329598391e-10
"ribosomal large subunit biogenesis",-2.59731830775919,2.33052687938213e-12,1.48018335390501e-10
"amino acid metabolic process",-2.27112177684111,2.80707421903573e-12,1.73828071013788e-10
"epithelial tube morphogenesis",2.13527305078881,3.25094878236099e-12,1.96404881314834e-10
"mesonephros development",2.58517853344914,3.59490565354618e-12,2.12013840567474e-10
"RNA localization",-2.3007958920134,4.67150844956493e-12,2.69100614641217e-10
"nucleoside triphosphate biosynthetic process",-2.49432772299245,6.47777762405853e-12,3.6466943579075e-10
"cell-substrate adhesion",2.08935022079519,7.06161165884492e-12,3.8870249064353e-10
"regulation of cellular response to growth factor stimulus",2.14912793363532,7.66830430077113e-12,4.12921516369785e-10
"artery development",2.48829759358248,8.43767254886158e-12,4.4468329581979e-10
"cardiac septum development",2.47046347509568,8.92712133699402e-12,4.51275092892534e-10
"generation of precursor metabolites and energy",-2.01959200691219,8.91316799056361e-12,4.51275092892534e-10
"positive regulation of translation",-2.42218356881261,9.99151106361374e-12,4.94979458091425e-10
"kidney epithelium development",2.39342083143078,1.13677397379988e-11,5.52115516294569e-10
"skeletal system morphogenesis",2.24469419346744,1.74473838406105e-11,8.31099418715237e-10
"cardiac ventricle development",2.37768872288921,2.71317327463175e-11,1.26802456627601e-09
"ATP biosynthetic process",-2.49438994381942,4.52009358045202e-11,1.99933424978208e-09
"epithelial to mesenchymal transition",2.30742575426395,4.47023049132763e-11,1.99933424978208e-09
"response to BMP",2.30620745283775,4.43762819264065e-11,1.99933424978208e-09
"cartilage development",2.23861730685658,4.81381724764305e-11,2.0918991793705e-09
"cardiac chamber morphogenesis",2.35476608070355,5.63117778143991e-11,2.40490126976322e-09
"ribose phosphate biosynthetic process",-2.32647087534528,7.78227621346689e-11,3.2672369797894e-09
"gland development",1.97727865581988,8.24216898151914e-11,3.40264209453715e-09
"cardiac muscle tissue development",2.16165371452728,8.41719210516871e-11,3.41793194172179e-09
"RNA methylation",-2.51623079355792,8.74543541195772e-11,3.49394250248698e-09
"regulation of nervous system development",1.96862776712298,1.29900888449421e-10,5.10737302681293e-09
"endocardial cushion development",2.52740072210978,1.3993065032236e-10,5.4157534507576e-09
"response to type I interferon",-2.41633079009472,1.45416285619634e-10,5.54147906892051e-09
"purine-containing compound biosynthetic process",-2.16120450795484,1.48605941041642e-10,5.57722599939616e-09
"nucleoside triphosphate metabolic process",-2.11319696321685,1.77313552930599e-10,6.55530851655363e-09
"nephron development",2.31265298691457,1.93242664911746e-10,7.03914824979992e-09
"sensory organ morphogenesis",2.0837633534902,2.21975762577071e-10,7.96860817251312e-09
"connective tissue development",2.07435643466824,2.47318360188941e-10,8.75153683125725e-09
"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",2.10882586335978,2.70486157892091e-10,9.43653821265789e-09
"morphogenesis of a branching structure",2.19503762606975,2.74643270558445e-10,9.44849140518427e-09
"translational initiation",-2.34644744362838,3.03278248757334e-10,1.02906879749578e-08
"regulation of cell junction assembly",2.09667729235155,3.58876934425424e-10,1.20126779266456e-08
"outflow tract morphogenesis",2.4003037670872,5.14555153128238e-10,1.69940415239819e-08
"roof of mouth development",2.38302866157977,8.95677304208293e-10,2.91920089805782e-08
"establishment of protein localization to organelle",-1.88735813639893,9.30968315096842e-10,2.99481625518815e-08
"muscle tissue development",1.89949242586341,9.48781776644504e-10,3.01299033429287e-08
"formation of primary germ layer",2.27697737030667,9.92386167050871e-10,3.11157029846203e-08
"mesenchyme morphogenesis",2.4573501681822,1.20656670115252e-09,3.73583214844349e-08
"chromosome segregation",-1.87350454108814,1.45296854730636e-09,4.44321369342946e-08
"reproductive system development",2.04537940655531,1.86947700879457e-09,5.64718847656602e-08
"muscle cell differentiation",1.87663826020313,2.17459089849375e-09,6.48971283803497e-08
"spliceosomal tri-snRNP complex assembly",-2.52367512519114,2.36850847821071e-09,6.98428035777136e-08
"amino acid activation",-2.48697495733077,3.00060183688027e-09,8.74410676464992e-08
"GO:0072655",-2.19912462168064,3.38006057304242e-09,9.62345981543228e-08
"mitotic cell cycle phase transition",-1.86406474482865,3.36103135839674e-09,9.62345981543228e-08
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.55329882493709,4.20936709451294e-09,1.18484116967143e-07
"Wnt signaling pathway",1.80382180740048,5.28402420866282e-09,1.47062111964695e-07
"homophilic cell-cell adhesion",2.1927846058653,5.39697507308158e-09,1.48536747289145e-07
"endocardial cushion morphogenesis",2.4866896934015,5.57449387981594e-09,1.517364982451e-07
"heart valve development",2.32422416315347,5.65204296119379e-09,1.52175113205185e-07
"mitochondrial electron transport, NADH to ubiquinone",-2.46780899468983,6.83031459123155e-09,1.81921389704092e-07
"regulation of synapse structure or activity",1.96160412398147,7.28274995945415e-09,1.91908209037957e-07
"tRNA modification",-2.32600635278262,7.36385765036102e-09,1.92002898946782e-07
"digestive system development",2.17781226280355,7.84557480331419e-09,1.99542560164248e-07
"cell fate commitment",2.04630560168128,7.73987643924589e-09,1.99542560164248e-07
"regulation of chromosome organization",-1.9873145532004,7.89469959470986e-09,1.99542560164248e-07
"endocrine system development",2.28820355245748,8.71202571360997e-09,2.17976643359716e-07
"ear development",2.04569338652321,9.21729415926636e-09,2.28312376325028e-07
"mitotic sister chromatid segregation",-2.08531403123337,9.83251048410693e-09,2.38775769305224e-07
"positive regulation of MAPK cascade",1.83580030487469,9.76211288348837e-09,2.38775769305224e-07
"GO:1903050",-2.00261809713509,1.06903391323489e-08,2.57087087677945e-07
"smooth muscle cell differentiation",2.3849641549418,1.09650795360826e-08,2.61158673181506e-07
"ossification",1.85549527154011,1.51504736773569e-08,3.57406888560124e-07
"neuron projection guidance",2.04076425734621,1.63721721417149e-08,3.82583682971961e-07
"regulation of AMPA receptor activity",-2.53915820588026,1.79560672882684e-08,4.15674567037764e-07
"regulation of cell cycle phase transition",-1.80968424207976,1.88074082200213e-08,4.31351390379561e-07
"maturation of 5.8S rRNA",-2.44118547250368,1.996920105687e-08,4.53795513925385e-07
"retina development in camera-type eye",2.13984289539606,2.1061548906918e-08,4.74267787658509e-07
"endocardial cushion formation",2.4313971167654,2.23963734085668e-08,4.98985130991335e-07
"response to transforming growth factor beta",1.95154131175806,2.25621052365884e-08,4.98985130991335e-07
"cardiac septum morphogenesis",2.31264248900804,2.44226969600973e-08,5.35354162567797e-07
"negative regulation of cellular response to growth factor stimulus",2.26029728215957,2.64776076807455e-08,5.7530731776497e-07
"maturation of LSU-rRNA",-2.47969117550804,2.75926533505478e-08,5.89198296114715e-07
"glycoprotein metabolic process",1.84215236464871,2.73681266633494e-08,5.89198296114715e-07
"anterior/posterior pattern specification",2.06320713587695,3.61732426595627e-08,7.65821556134503e-07
"heart valve morphogenesis",2.33586212615541,3.73152905566716e-08,7.83304870414199e-07
"nephron epithelium development",2.21982412016053,4.32658527553607e-08,8.95312401040637e-07
"positive regulation of nervous system development",1.93549149154929,4.33740363846897e-08,8.95312401040637e-07
"nuclear chromosome segregation",-1.87754350546256,4.40940708112881e-08,9.02653003302154e-07
"endothelial cell migration",1.96580996131718,4.59017975660865e-08,9.31956988288494e-07
"telomere organization",-2.09168218837315,4.79130688445706e-08,9.64883508357734e-07
"smoothened signaling pathway",2.1160767690996,5.08266556963843e-08,1.01530343677374e-06
"appendage morphogenesis",2.09533439430027,5.55773849157024e-08,1.10132145948956e-06
"regulation of epithelial to mesenchymal transition",2.2066203224022,5.92275781228561e-08,1.16433897627234e-06
"RNA splicing",-1.75110722499516,5.98900899677383e-08,1.16809254212668e-06
"phosphatidylinositol 3-kinase/protein kinase B signal transduction",1.87971216473378,6.77884106484867e-08,1.31181166543986e-06
"coronary vasculature development",2.38559392334362,7.02929325180067e-08,1.34973328563645e-06
"positive regulation of cell junction assembly",2.22424422838577,7.34284288747564e-08,1.39909398709824e-06
"branching morphogenesis of an epithelial tube",2.11264601357077,7.73974531150566e-08,1.44167070105763e-06
"proton transmembrane transport",-2.10521881521341,7.72532919010795e-08,1.44167070105763e-06
"eye morphogenesis",2.07848224968408,7.74090445057187e-08,1.44167070105763e-06
"ribose phosphate metabolic process",-1.84601389430549,7.87558301245522e-08,1.4558073971531e-06
"regulation of translational initiation",-2.26143038183752,9.20901314931374e-08,1.68968337561853e-06
"regulation of synapse assembly",2.05536666601406,9.35854966100852e-08,1.70449466987633e-06
"cell cycle checkpoint signaling",-2.00643234864856,9.91631642580435e-08,1.79289896253411e-06
"synapse assembly",1.90572077817181,1.01431142650437e-07,1.82061550974733e-06
"ventricular septum development",2.25071341893518,1.03258758522264e-07,1.84008593424208e-06
"gland morphogenesis",2.12336799468523,1.04094861830137e-07,1.84173551966606e-06
"artery morphogenesis",2.27182370600383,1.33618471360983e-07,2.33079544761376e-06
"nuclear-transcribed mRNA catabolic process",-2.1170317222919,1.32680960842583e-07,2.33079544761376e-06
"bone development",1.94099006494134,1.35334086766209e-07,2.34421351692238e-06
"cardiac conduction system development",2.35108382838523,1.38265772732715e-07,2.37836332679816e-06
"respiratory system development",1.92686706444746,1.41406073154059e-07,2.41560581519038e-06
"regulation of neurogenesis",1.82995549375534,1.42907199196034e-07,2.42452830416834e-06
"embryonic skeletal system development",2.16162632913434,1.4552529195048e-07,2.45215066776421e-06
"spliceosomal conformational changes to generate catalytic conformation",-2.35194788535192,1.49491577299331e-07,2.50196376331381e-06
"transforming growth factor beta receptor signaling pathway",1.94637333423754,1.51309770082403e-07,2.51539798989337e-06
"regulation of neurotransmitter receptor activity",-2.41698857724983,1.52992141146775e-07,2.52641022413708e-06
"regulation of mitotic cell cycle phase transition",-1.79833891184428,1.77777255759522e-07,2.91625339414792e-06
"renal tubule development",2.17555936181071,2.00513356618375e-07,3.2675762127876e-06
"collagen metabolic process",2.20230443746207,2.11923183748213e-07,3.43093938656421e-06
"mesoderm morphogenesis",2.25032330528133,2.18106022417034e-07,3.50810790601943e-06
"protein localization to mitochondrion",-2.2612584146665,2.34212344300499e-07,3.74286436666024e-06
"ATP metabolic process",-1.97604858231298,2.37437290948792e-07,3.77007801077024e-06
"embryonic appendage morphogenesis",2.11168603373562,2.4095215323213e-07,3.80151900354131e-06
"odontogenesis of dentin-containing tooth",2.26981578981139,2.76809440270352e-07,4.3245970548154e-06
"forebrain development",1.75756191852384,2.77598276833124e-07,4.3245970548154e-06
"mesoderm development",2.077534625982,2.79614693776752e-07,4.32878497803135e-06
"regulation of DNA replication",-2.12834549497517,2.87807945993589e-07,4.42795206351627e-06
"muscle organ development",1.80403876607941,2.93153931580679e-07,4.48235980571199e-06
"RNA 5'-end processing",-2.32807955830453,3.0250597612896e-07,4.56894696872826e-06
"specification of symmetry",2.04454815113124,3.0096474059917e-07,4.56894696872826e-06
"proteoglycan metabolic process",2.07306237472451,3.05229423158268e-07,4.58214109795775e-06
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.37337387408942,3.40034545058481e-07,5.07388896451721e-06
"regulation of neuron projection development",1.74891116463758,3.6841901346148e-07,5.46451434936578e-06
"alpha-amino acid metabolic process",-2.04108242686792,3.7498411278669e-07,5.52878361531328e-06
"mitochondrial membrane organization",-2.1048694046924,4.38803724671757e-07,6.43146050894641e-06
"vascular endothelial growth factor signaling pathway",2.2766625712438,4.68007514892521e-07,6.8191447905222e-06
"heterophilic cell-cell adhesion",2.29628540350182,4.79858357056782e-07,6.91051831645145e-06
"kidney morphogenesis",2.15055952073689,4.79560930095693e-07,6.91051831645145e-06
"inner mitochondrial membrane organization",-2.23742267813142,5.08088663275006e-07,7.27477236376988e-06
"rRNA modification",-2.27606400471147,6.31511701770803e-07,8.98996830624298e-06
"cellular response to vascular endothelial growth factor stimulus",2.19463114013897,6.47640281924002e-07,9.16688559043288e-06
"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",2.10870294146911,6.68659033467175e-07,9.41061605623972e-06
"positive regulation of synapse assembly",2.2344369063174,6.81865501818401e-07,9.54226467798971e-06
"cardiac epithelial to mesenchymal transition",2.29710334672525,6.8847272567323e-07,9.5632659190683e-06
"canonical Wnt signaling pathway",1.78801556152295,6.91087848006954e-07,9.5632659190683e-06
"negative regulation of nervous system development",2.04666087816548,7.26210221765677e-07,9.99345955174212e-06
"DNA-templated transcription initiation",-1.84411669872505,7.34433865440682e-07,1.00507883132407e-05
"regulation of BMP signaling pathway",2.1153066945157,8.35746755649605e-07,1.13744215040883e-05
"taxis",1.75605263368477,8.53000706887227e-07,1.15458073822932e-05
"sister chromatid segregation",-1.85790765433286,9.03005820167903e-07,1.21562250899777e-05
"ERK1 and ERK2 cascade",1.82462403558445,9.15384026760121e-07,1.22562499150531e-05
"metanephros development",2.17357587523944,9.29774767406082e-07,1.23820005315315e-05
"ameboidal-type cell migration",1.87552136730171,9.34887104450114e-07,1.23835045867537e-05
"regulation of endothelial cell migration",1.9767810971427,9.51485313378206e-07,1.25363251129671e-05
"nephron morphogenesis",2.18026198976379,9.65815457821572e-07,1.26578036456298e-05
"mesonephric tubule morphogenesis",2.22749334410515,9.72684786599934e-07,1.26807379810949e-05
"aorta development",2.17735614802151,1.00369004469698e-06,1.30164410508608e-05
