"go_description","NES","pval","padj"
"cell cycle DNA replication",-2.88261241174837,6.66601787700969e-13,2.20600751609841e-11
"microtubule cytoskeleton organization involved in mitosis",-2.41186527984203,7.11166690032779e-13,2.32252069034389e-11
"cardiocyte differentiation",2.45813686602433,8.67534684047766e-13,2.796391020528e-11
"cardiac cell development",2.65133471256917,1.01222658293641e-12,3.18018528968122e-11
"regulation of actin filament-based process",2.12737839295468,1.01026538888113e-12,3.18018528968122e-11
"DNA-templated DNA replication maintenance of fidelity",-2.81061172567522,1.18093101342581e-12,3.66383846915357e-11
"cardiac muscle cell differentiation",2.54613637534506,1.59394918355209e-12,4.88417515256332e-11
"regulation of nuclear division",-2.47035549693142,2.68948101799369e-12,8.14059986178089e-11
"cardiac chamber morphogenesis",2.49545472170802,2.93867576717123e-12,8.78770271580601e-11
"protein localization to chromosome",-2.61158747799414,3.20175584695734e-12,9.46042620493823e-11
"sarcomere organization",2.71487170412556,4.04490587724281e-12,1.1811125161549e-10
"RNA methylation",-2.63206208514541,4.33373576132348e-12,1.25073629762847e-10
"establishment of RNA localization",-2.39674049082545,4.56989543039169e-12,1.3037333860037e-10
"signal transduction in response to DNA damage",-2.28126975352713,6.49449480428385e-12,1.83174273911733e-10
"mitotic sister chromatid separation",-2.6947589922276,7.95194034158062e-12,2.21760853121383e-10
"cardiac chamber development",2.35173429617419,8.61448895743126e-12,2.34957819696092e-10
"endosomal transport",2.10865394422552,8.59809838015422e-12,2.34957819696092e-10
"heart morphogenesis",2.1975527992758,1.12210958896305e-11,3.02725652152858e-10
"positive regulation of cell cycle",-2.12689782309558,1.15505252743e-11,3.08262405707662e-10
"regulation of mitotic sister chromatid segregation",-2.63882737993224,1.37404670822103e-11,3.59326503396113e-10
"tRNA metabolic process",-2.24400168362596,1.3753431838288e-11,3.59326503396113e-10
"negative regulation of nuclear division",-2.64259139604815,2.04994036963057e-11,5.29994999731569e-10
"mitotic spindle organization",-2.45627240300282,2.15027195338485e-11,5.50203607041362e-10
